X10th_C1_S59-fluidigmc1	beta
X10th_C10_S104-fluidigmc1	ductal
X10th_C11_S96-fluidigmc1	beta
X10th_C13_S61-fluidigmc1	beta
X10th_C14_S53-fluidigmc1	beta
X10th_C16_S105-fluidigmc1	alpha
X10th_C17_S97-fluidigmc1	beta
X10th_C19_S62-fluidigmc1	activated_stellate
X10th_C20_S54-fluidigmc1	beta
X10th_C23_S98-fluidigmc1	beta
X10th_C24_S90-fluidigmc1	ductal
X10th_C28_S91-fluidigmc1	alpha
X10th_C30_S107-fluidigmc1	alpha
X10th_C31_S48-fluidigmc1	alpha
X10th_C32_S56-fluidigmc1	beta
X10th_C33_S64-fluidigmc1	beta
X10th_C34_S92-fluidigmc1	alpha
X10th_C37_S49-fluidigmc1	beta
X10th_C4_S103-fluidigmc1	ductal
X10th_C41_S101-fluidigmc1	alpha
X10th_C42_S109-fluidigmc1	acinar
X10th_C43_S50-fluidigmc1	alpha
X10th_C45_S66-fluidigmc1	alpha
X10th_C46_S94-fluidigmc1	endothelial
X10th_C5_S95-fluidigmc1	alpha
X10th_C50_S73-fluidigmc1	alpha
X10th_C51_S80-fluidigmc1	beta
X10th_C52_S110-fluidigmc1	alpha
X10th_C53_S118-fluidigmc1	alpha
X10th_C54_S124-fluidigmc1	ductal
X10th_C56_S74-fluidigmc1	activated_stellate
X10th_C57_S81-fluidigmc1	alpha
X10th_C58_S111-fluidigmc1	gamma
X10th_C6_S88-fluidigmc1	gamma
X10th_C61_S68-fluidigmc1	beta
X10th_C63_S82-fluidigmc1	acinar
X10th_C64_S112-fluidigmc1	beta
X10th_C66_S126-fluidigmc1	beta
X10th_C68_S75-fluidigmc1	ductal
X10th_C7_S60-fluidigmc1	ductal
X10th_C73_S84-fluidigmc1	ductal
X10th_C74_S76-fluidigmc1	alpha
X10th_C76_S128-fluidigmc1	delta
X10th_C77_S120-fluidigmc1	activated_stellate
X10th_C78_S114-fluidigmc1	gamma
X10th_C8_S52-fluidigmc1	gamma
X10th_C80_S77-fluidigmc1	ductal
X10th_C81_S70-fluidigmc1	beta
