HP1502401_H13-smartseq2	0
HP1502401_J14-smartseq2	0
HP1502401_B14-smartseq2	0
HP1502401_A14-smartseq2	0
HP1502401_C14-smartseq2	0
HP1502401_G14-smartseq2	0
HP1502401_E14-smartseq2	0
HP1502401_L14-smartseq2	0
HP1502401_M14-smartseq2	0
HP1502401_K14-smartseq2	0
HP1502401_I14-smartseq2	0
HP1502401_F13-smartseq2	0
HP1502401_L13-smartseq2	0
HP1502401_D13-smartseq2	0
HP1502401_H14-smartseq2	0
HP1502401_F17-smartseq2	0
HP1504101T2D_B4-smartseq2	1
HP1504101T2D_M6-smartseq2	1
HP1504101T2D_F15-smartseq2	1
HP1504101T2D_H7-smartseq2	1
HP1502401_H23-smartseq2	0
HP1502401_L21-smartseq2	0
HP1504101T2D_F10-smartseq2	1
HP1504101T2D_B10-smartseq2	1
HP1502401_G18-smartseq2	0
HP1502401_K22-smartseq2	0
HP1502401_I22-smartseq2	0
HP1504101T2D_M18-smartseq2	1
HP1502401_J22-smartseq2	0
HP1502401_F4-smartseq2	0
HP1504101T2D_O12-smartseq2	1
HP1502401_M15-smartseq2	0
HP1504101T2D_G16-smartseq2	1
HP1504101T2D_L23-smartseq2	1
HP1502401_G24-smartseq2	0
HP1502401_G23-smartseq2	0
HP1504101T2D_A24-smartseq2	1
HP1504101T2D_N17-smartseq2	1
HP1502401_N8-smartseq2	0
HP1504101T2D_G1-smartseq2	1
HP1504101T2D_A15-smartseq2	1
HP1504101T2D_M19-smartseq2	1
HP1502401_O16-smartseq2	0
HP1504101T2D_E16-smartseq2	1
HP1502401_A12-smartseq2	0
HP1502401_D18-smartseq2	0
HP1504101T2D_K2-smartseq2	1
HP1502401_K19-smartseq2	0
HP1502401_D5-smartseq2	0
HP1502401_H22-smartseq2	0
HP1504101T2D_J15-smartseq2	1
HP1504101T2D_N7-smartseq2	1
HP1504101T2D_O16-smartseq2	1
HP1502401_M5-smartseq2	0
HP1504101T2D_M4-smartseq2	1
HP1504101T2D_I20-smartseq2	1
